LI_0,LI_1,LI_2,LI_3,LI_4,LI_5,LI_6,LI_7,LI_8,LI_9,LI_10,LI_11,LI_12,LI_13,LI_14,LI_15,LI_16,LI_17,LI_18,LI_19,LI_20,LI_21,LI_22,LI_23,LI_24,LI_25,LI_26,LI_27,LI_28,LI_29,LI_30,LI_31,LI_32,LI_33
548.889946946192,752.707666245375,1007.8173535120292,1052.756125463902,68.8389581384211,588.92588741227,442.691086192888,126.1194516095526,455.42244376731503,42.3872373707679,0.0,623.07427744852,146.86897055261818,76.39350117663349,391.52762682930097,1055.583820275934,1040.054406943059,979.481249252132,85.6231147520163,22.2670911905756,618.936720734322,166.0639707434794,724.38106739964,453.090399733282,62.1475931620548,556.671690786676,60.0500849311142,623.390202768937,1003.429708248824,121.4487742051291,431.889268182393,187.0859395026859,286.518714603848,600.580642279078
548.913074701322,752.731085539413,1007.715986946146,1052.685932741359,68.7648007961345,588.769997399237,442.777601538821,126.2057285510395,455.704215409638,42.513103051383496,0.0,623.379892885986,146.8920680558602,76.31808379390151,391.603110796288,1055.966631096992,1040.402753779301,979.381559263076,85.2231660935494,22.3928877994942,618.810638751438,166.1189310281402,724.2928338641291,453.03512623624897,62.185991943607405,556.633073249038,60.0188249764572,623.358800845676,1003.374126092606,121.4536236929578,431.921305010176,187.0540863297705,286.486848095458,600.548546825006
548.933949915196,752.752223906639,1007.624495731567,1052.622579185028,68.6978682978298,588.62929554649,442.855688189434,126.2835999669304,455.958534855702,42.62670574841541,0.0,623.655733821589,146.9129155877191,76.2500136299289,391.671241086356,1056.3121475740409,1040.717164483547,979.291581096628,84.86218068360711,22.5064279692058,618.696841215702,166.1685369909878,724.213196897436,452.985238040613,62.220649532740296,556.598218236269,59.99061073794471,623.330458486119,1003.323959337342,121.4580006976243,431.95022065313,187.02533661091636,286.45808632046703,600.519578454597
548.953112298562,752.771627858946,1007.540513557426,1052.564425924007,68.6364294030866,588.50014258703,442.927365895443,126.3550800562388,456.191980064749,42.7309839053924,0.0,623.908934684129,146.9320522880866,76.1875301686795,391.733779762822,1056.629306010851,1041.005770673628,979.208987627754,84.5308222953523,22.6106485764432,618.592384537654,166.2140716960539,724.1400965641731,452.939444704303,62.2524624051702,556.566224160758,59.9647123953209,623.304442551724,1003.277910328206,121.4620184369394,431.976763021573,186.9989466871612,286.431685313512,600.492987846517
548.9708930376801,752.789632755909,1007.462588205867,1052.510467096293,68.5794216054136,588.380305151094,442.993874262536,126.421405018089,456.408587909125,42.8277408786182,0.0,624.143873853248,146.9498090339648,76.1295529802781,391.791808204745,1056.9235905910969,1041.273562690032,979.132350689674,84.2233612946385,22.7073520183434,618.495462197818,166.2563226287563,724.0722686287711,452.896954249402,62.281980751351,556.536537694509,59.9406820413553,623.280303098541,1003.23518266029,121.4657463955846,432.001391128626,186.9744601556725,286.407188483984,600.468315122475
548.987495045737,752.8064440674559,1007.389829666142,1052.460086123755,68.5261936791887,588.2684145931121,443.055973114019,126.4833325889348,456.610832352492,42.9180819071664,0.0,624.363234587212,146.96638861337442,76.0754199223397,391.845989135608,1057.198362252891,1041.523598806914,979.060795015866,83.9362862927929,22.797642950154906,618.404967010015,166.2957725062008,724.0089382216149,452.857281259928,62.3095417917634,556.508819693575,59.9182451502379,623.257764352114,1003.195288203648,121.469227161774,432.024386312231,186.9515972798769,286.384315980666,600.445278415206
549.003048435701,752.8221935458309,1007.3216669036948,1052.4128872420602,68.4763277207064,588.1635929433651,443.114150116781,126.5413490974579,456.8003005627541,43.0027161484101,0.0,624.5687383408019,146.9819211465427,76.02470617925391,391.896747743245,1057.45577722263,1041.7578410589422,978.993759035704,83.66734449371279,22.8822301584379,618.320188559579,166.3327311788725,723.949608095924,452.820114235921,62.3353619266434,556.482852523019,59.8972255598309,623.236649348731,1003.157913716169,121.4724880650489,432.045929115641,186.9301785479538,286.362888218605,600.423696845102
549.017645138999,752.836974280575,1007.257696054709,1052.368590345659,68.42952807541491,588.065219475913,443.168750377674,126.5957987042461,456.97811486861,43.0821451823985,0.0,624.761602428337,146.99649867765078,75.9771113217834,391.94438471975695,1057.697360276441,1041.9776768872011,978.930845581311,83.4149427618014,22.9616149634122,618.2406243720341,166.3674179650912,723.893926470785,452.785232804175,62.3595942500604,556.458482215003,59.8774986510857,623.2168329020931,1003.122837591794,121.4755484398781,432.066147272659,186.91007696280968,286.34277814925497,600.403442447092
549.0313583263351,752.850860364151,1007.1975952408292,1052.3269719672398,68.3855590034984,587.9727997372061,443.22004918099503,126.646955939026,457.145169521867,43.1567687908116,0.0,624.9427968248331,147.0101945876871,75.93239593215361,391.989139692276,1057.924326408449,1042.1842118455238,978.871738111811,83.1778115426004,23.0361969404301,618.165873951192,166.4000078659713,723.841612865411,452.75246125737897,62.38236082652181,556.435586008279,59.8589650733565,623.1982152092589,1003.089883140121,121.4784237019486,432.08514263758,186.8911912674869,286.323884474759,600.384413192337
549.044252119252,752.8639167259009,1007.141081944434,1052.2878357309592,68.3442134824812,587.885900028474,443.268288399846,126.6950620117541,457.302249151679,43.226937887539,0.0,625.113172648634,147.0230733097125,75.8903498942106,392.031222960768,1058.137741769966,1042.37841604901,978.816158793886,82.95483670733799,23.1063268217639,618.095585757044,166.4306547036528,723.792420981261,452.721645301769,62.4037688444874,556.414056102604,59.8415375953411,623.180708641839,1003.058895204176,121.48112738822728,432.103004663563,186.8734325452306,286.30611824242703,600.3665194863411
